adm2_name,road_km,area_km2,road_density_km_per_km2
Cidade de Lichinga,126.29311196019931,3314.6714365541325,0.03810124604431116
Cuamba,189.8750017219721,5367.498238790529,0.03537495370743839
Lago,108.74033409969186,12070.398359235227,0.00900884385613447
Chimbonila,177.55389507661835,3828.523347073368,0.046376599795935836
Majune,156.85387350807437,11701.990994434196,0.013404033004527059
Mandimba,176.01774731442538,4688.172290407654,0.03754506797341272
Marrupa,181.64397577528698,17501.523925005764,0.010378751962036767
Maua,106.89013807833281,8418.2893720008,0.012697370374775786
Mavago,0.0,9008.60342546103,0.0
Mecanhelas,0.0,5018.429416955246,0.0
Mecula,0.0,18371.688409054914,0.0
Metarica,48.61255364142761,4537.380166295366,0.010713793391731223
Muembe,0.0,5824.289305286241,0.0
N'gauma,56.303823108723904,2628.7835164463254,0.021418204563621594
Nipepe,0.0,5044.176329873364,0.0
Sanga,68.45195898559675,12239.588469421245,0.005592668344741621
Cidade de Pemba,29.87899676896525,102.20439332535878,0.2923455225045764
Ancuabe,225.09605303710885,4983.413331836512,0.045169051420857226
Balama,135.29209672485996,5545.486645321158,0.024396794254118115
Chiúre,74.98727345886928,5440.50861846268,0.0137831365994708
Ibo,0.0,181.30834891822246,0.0
Macomia,70.6302314312033,4177.168522609083,0.016908638243564866
Mecúfi,0.0,838.1421397107878,0.0
Meluco,56.43414319338136,5800.756620255824,0.009728755555149031
Mocímboa da Praia,58.27010601574059,3536.34650799214,0.016477487679459637
Montepuez,139.98671417184747,17957.224633826503,0.007795565129154244
Mueda,86.51344262851369,11792.522569373743,0.007336296548899299
Muidumbe,106.61635636512445,1747.5561264260757,0.061008830991405916
Namuno,0.0,6032.959864178594,0.0
Nangade,0.0,3046.473218060812,0.0
Palma,0.0,3614.818382256755,0.0
Metuge,76.64818955791733,2027.7159938684665,0.037800258906913436
Quissanga,9.208250476835234,2146.3269133216363,0.004290236692128427
Cidade de Nampula,197.67281556248298,1577.9027090361787,0.12527566777753132
Angoche,86.10870424216058,3051.227124241559,0.028221007724413355
Erati,59.39894283341772,5774.598524441772,0.010286246322060943
Ilha de Moçambique,48.36427644363681,178.42322161180127,0.2710649208479369
Lalaua,0.0,4560.420478300359,0.0
Malema,147.5073729509142,6081.53528959561,0.024254956343552295
Meconta,162.59212945877638,3646.539552939831,0.04458806139308019
Mecuburi,33.62870350779904,7259.923116932319,0.004632101878512571
Memba,0.0,4520.008761461426,0.0
Mogincual,0.0,2313.875863947414,0.0
Mogovolas,58.85736930990066,4754.335777755376,0.012379724962902914
Moma,80.52288914360632,3960.1573302786373,0.020333255077504893
Monapo,242.4666259726371,3489.5170569792695,0.06948429310230408
Mossuril,63.02979131802767,3225.24610601873,0.01954263000284098
Muecate,8.825420248632486,4656.118276855635,0.0018954458894442992
Murrupula,59.06392184159176,3118.140312482991,0.01894203464967196
Nacala Porto,29.08130316413003,535.724104089436,0.05428410434053398
Nacala-a-Velha,28.008313998326184,1306.3368739304917,0.021440345562668748
Nacaroa,74.11758596658741,2242.159809822863,0.033056335075617525
Rapale,117.67726436007902,2454.4801739159693,0.0479438642897377
Ribáuè,173.35386284382722,6287.619484072833,0.02757066697228575
Larde,77.48273722205786,1863.8025723075061,0.04157239525972395
Liupo,0.0,2153.993643690617,0.0
Quelimane,22.476673364397342,802.7281764189144,0.028000354322516758
Alto Molocue,148.8830067806575,6274.462328334887,0.0237284087448124
Chinde,56.078167284446494,3132.325845801392,0.017903043950428833
Gile,191.42972466788234,9132.894492187666,0.020960466020015067
Gurue,153.78297651279507,5663.520015735611,0.02715325029054759
Ile,151.59982749762722,2949.801894680313,0.05139322331137663
Inhassunge,39.76878208447061,992.8100867906497,0.04005678690576852
Lugela,0.0,6153.747575438755,0.0
Maganja da Costa,88.421804327276,3876.264346809013,0.022811087277900922
Milange,108.07236667265963,5510.56261881572,0.019611857109408104
Mocuba,324.33276865281164,8800.690175123511,0.03685310608588262
Mopeia,158.59630275692788,7653.14553255824,0.020723021936826205
Morrumbala,108.99032960525864,8041.005678705946,0.013554315711265441
Namacurra,66.16130893444753,2028.9528210451508,0.03260859900151184
Namarroi,0.0,3066.7395424270517,0.0
